PriceChangeStep,Price_chocolate,MarketTrade_chocolate,Price_nut,MarketTrade_nut,Price_candy,MarketTrade_candy,Satisfaction_Person 1,candy savings_Person 1,chocolate savings_Person 1,chocolate consumption_Person 1,candy consumption_Person 1,nut savings_Person 1,nut consumption_Person 1,chocolate_Person 1,nut_Person 1,candy_Person 1,Satisfaction_Person 2,candy savings_Person 2,chocolate savings_Person 2,chocolate consumption_Person 2,candy consumption_Person 2,nut savings_Person 2,nut consumption_Person 2,chocolate_Person 2,nut_Person 2,candy_Person 2,Satisfaction_Person 3,candy savings_Person 3,chocolate savings_Person 3,chocolate consumption_Person 3,candy consumption_Person 3,nut savings_Person 3,nut consumption_Person 3,chocolate_Person 3,nut_Person 3,candy_Person 3,
0.2,1,0.6,0.8,-1.8,1,0.6,11.4329,0.4,0.4,0.8,0.8,0.4,0,0.2,-0.6,0.2,11.4329,0.4,0.4,0.8,0.8,0.4,0,0.2,-0.6,0.2,11.4329,0.4,0.4,0.8,0.8,0.4,0,0.2,-0.6,0.2,
0.2,1,-0.6,0.96,1.2,1,-0.6,11.7706,0,0,0.8,0.8,0.9,0.5,-0.2,0.4,-0.2,11.7706,0,0,0.8,0.8,0.9,0.5,-0.2,0.4,-0.2,11.7706,0,0,0.8,0.8,0.9,0.5,-0.2,0.4,-0.2,
0.2,1,0.6,0.768,-1.3,1,0.6,11.9697,0.4,0.4,0.8,0.8,0.483333,0.0833333,0.2,-0.433333,0.2,11.9697,0.4,0.4,0.8,0.8,0.483333,0.0833333,0.2,-0.433333,0.2,11.9697,0.4,0.4,0.8,0.8,0.483333,0.0833333,0.2,-0.433333,0.2,
0.2,1,-0.6,0.9216,0.79375,1,-0.6,11.3841,0,0,0.8,0.8,1.00417,0.260417,-0.2,0.264583,-0.2,11.3841,0,0,0.8,0.8,1.00417,0.260417,-0.2,0.264583,-0.2,11.3841,0,0,0.8,0.8,1.00417,0.260417,-0.2,0.264583,-0.2,
0.1,1,0,0.82944,-0.508333,1,0,11.4765,0.2,0.2,0.8,0.8,0.570139,0.260417,0,-0.169444,0,11.4765,0.2,0.2,0.8,0.8,0.570139,0.260417,0,-0.169444,0,11.4765,0.2,0.2,0.8,0.8,0.570139,0.260417,0,-0.169444,0,
0.1,1,-0.6,0.912384,0.938426,1,-0.6,11.5236,0,0,0.8,0.8,1.05239,0.260417,-0.2,0.312809,-0.2,11.5236,0,0,0.8,0.8,1.05239,0.260417,-0.2,0.312809,-0.2,11.5236,0,0,0.8,0.8,1.05239,0.260417,-0.2,0.312809,-0.2,
0.1,1,0,0.821146,-0.37681,1,0,11.6151,0.2,0.2,0.8,0.8,0.61398,0.260417,0,-0.125603,0,11.6151,0.2,0.2,0.8,0.8,0.61398,0.260417,0,-0.125603,0,11.6151,0.2,0.2,0.8,0.8,0.61398,0.260417,0,-0.125603,0,
0.1,1,-0.6,0.90326,1.08456,1,-0.6,11.6621,0,0,0.8,0.8,1.1011,0.260417,-0.2,0.361521,-0.2,11.6621,0,0,0.8,0.8,1.1011,0.260417,-0.2,0.361521,-0.2,11.6621,0,0,0.8,0.8,1.1011,0.260417,-0.2,0.361521,-0.2,
0.05,1,0,0.858097,-0.243958,1,0,11.7529,0.2,0.2,0.8,0.8,0.658264,0.260417,0,-0.0813192,0,11.7529,0.2,0.2,0.8,0.8,0.658264,0.260417,0,-0.0813192,0,11.7529,0.2,0.2,0.8,0.8,0.658264,0.260417,0,-0.0813192,0,
0.05,1,0,0.890652,0.455264,0.95,-0.6,11.7555,0,0.2,0.8,0.8,0.891338,0.260417,0,0.151755,-0.2,11.7555,0,0.2,0.8,0.8,0.891338,0.260417,0,0.151755,-0.2,11.7555,0,0.2,0.8,0.8,0.891338,0.260417,0,0.151755,-0.2,
0.05,1,0,0.84612,-0.2184,0.956868,0.0315789,11.815,0.210526,0.2,0.8,0.8,0.666783,0.260417,0,-0.0727999,0.0105263,11.815,0.210526,0.2,0.8,0.8,0.666783,0.260417,0,-0.0727999,0.0105263,11.815,0.210526,0.2,0.8,0.8,0.666783,0.260417,0,-0.0727999,0.0105263,
0.05,1,-0.6,0.888426,0.49072,0.984572,0.0315789,11.8257,0.210526,0,0.8,0.8,0.903157,0.260417,-0.2,0.163573,0.0105263,11.8257,0.210526,0,0.8,0.8,0.903157,0.260417,-0.2,0.163573,0.0105263,11.8257,0.210526,0,0.8,0.8,0.903157,0.260417,-0.2,0.163573,0.0105263,
0.05,1,0,0.844004,-0.184632,0.992992,0.0315789,11.8495,0.210526,0.2,0.8,0.8,0.678039,0.260417,0,-0.0615441,0.0105263,11.8495,0.210526,0.2,0.8,0.8,0.678039,0.260417,0,-0.0615441,0.0105263,11.8495,0.210526,0.2,0.8,0.8,0.678039,0.260417,0,-0.0615441,0.0105263,
0.05,1,-0.6,0.886205,0.526265,1.02083,0.0315789,11.8602,0.210526,0,0.8,0.8,0.915005,0.260417,-0.2,0.175422,0.0105263,11.8602,0.210526,0,0.8,0.8,0.915005,0.260417,-0.2,0.175422,0.0105263,11.8602,0.210526,0,0.8,0.8,0.915005,0.260417,-0.2,0.175422,0.0105263,
0.05,1,0,0.841894,-0.15078,1.03152,0.0315789,11.884,0.210526,0.2,0.8,0.8,0.689323,0.260417,0,-0.05026,0.0105263,11.884,0.210526,0.2,0.8,0.8,0.689323,0.260417,0,-0.05026,0.0105263,11.884,0.210526,0.2,0.8,0.8,0.689323,0.260417,0,-0.05026,0.0105263,
0.05,1,0,0.883989,0.561899,0.981032,-0.550085,11.9181,0.0166384,0.2,0.8,0.8,0.926883,0.260417,0,0.1873,-0.183362,11.9181,0.0166384,0.2,0.8,0.8,0.926883,0.260417,0,0.1873,-0.183362,11.9181,0.0166384,0.2,0.8,0.8,0.926883,0.260417,0,0.1873,-0.183362,
0.025,1,0,0.861889,-0.116843,0.993945,0.061516,11.952,0.220505,0.2,0.8,0.8,0.700636,0.260417,0,-0.0389476,0.0205053,11.952,0.220505,0.2,0.8,0.8,0.700636,0.260417,0,-0.0389476,0.0205053,11.952,0.220505,0.2,0.8,0.8,0.700636,0.260417,0,-0.0389476,0.0205053,
0.025,1,0,0.840342,-0.116843,1.00703,0.061516,11.952,0.220505,0.2,0.8,0.8,0.700636,0.260417,0,-0.0389476,0.0205053,11.952,0.220505,0.2,0.8,0.8,0.700636,0.260417,0,-0.0389476,0.0205053,11.952,0.220505,0.2,0.8,0.8,0.700636,0.260417,0,-0.0389476,0.0205053,
0.025,1,0,0.861351,0.597152,0.984501,-0.534297,11.9705,0.0219009,0.2,0.8,0.8,0.938634,0.260417,0,0.199051,-0.178099,11.9705,0.0219009,0.2,0.8,0.8,0.938634,0.260417,0,0.199051,-0.178099,11.9705,0.0219009,0.2,0.8,0.8,0.938634,0.260417,0,0.199051,-0.178099,
0.025,1,0,0.839817,-0.0994284,1.0031,0.0751485,11.9849,0.225049,0.2,0.8,0.8,0.706441,0.260417,0,-0.0331428,0.0250495,11.9849,0.225049,0.2,0.8,0.8,0.706441,0.260417,0,-0.0331428,0.0250495,11.9849,0.225049,0.2,0.8,0.8,0.706441,0.260417,0,-0.0331428,0.0250495,
0.0125,1,0,0.850315,0.615013,0.992441,-0.522995,12.0008,0.0256683,0.2,0.8,0.8,0.944588,0.260417,0,0.205004,-0.174332,12.0008,0.0256683,0.2,0.8,0.8,0.944588,0.260417,0,0.205004,-0.174332,12.0008,0.0256683,0.2,0.8,0.8,0.944588,0.260417,0,0.205004,-0.174332,
0.0125,1,-0.6,0.860943,0.615013,0.998614,0.0045701,11.9154,0.201523,0,0.8,0.8,0.944588,0.260417,-0.2,0.205004,0.00152337,11.9154,0.201523,0,0.8,0.8,0.944588,0.260417,-0.2,0.205004,0.00152337,11.9154,0.201523,0,0.8,0.8,0.944588,0.260417,-0.2,0.205004,0.00152337,
0.0125,1,0,0.850182,-0.0818967,0.99931,0.0045701,11.9232,0.201523,0.2,0.8,0.8,0.712284,0.260417,0,-0.0272989,0.00152337,11.9232,0.201523,0.2,0.8,0.8,0.712284,0.260417,0,-0.0272989,0.00152337,11.9232,0.201523,0.2,0.8,0.8,0.712284,0.260417,0,-0.0272989,0.00152337,
