Satisfaction,candy_consumption,nut_consumption,chocolate_consumption,
2.21774,1.6,0.6,0.8,
2.16275,1.26667,0.8,0.8,
2.16275,1.26667,0.8,0.8,
2.11052,1.15093,0.8,0.8,
2.11806,1.05448,1,0.8,
2.12175,0.9741,1,0.950993,
2.12807,0.90712,1.2,0.950993,
2.16595,0.90712,1.4,0.950993,
2.17062,0.814093,1.6,1.06753,
2.19809,0.814093,1.8,1.06753,
2.22298,0.781792,2,1.16119,
2.19039,0.902921,1.8,0.844555,
2.20315,0.768333,2,1.11781,
2.20584,0.768333,1.8,1.23166,
2.20776,0.768333,2,1.13678,
2.18428,0.806372,1.8,1.03452,
2.20944,0.771791,2,1.13367,
2.18563,0.771791,1.8,1.13367,
2.20944,0.771791,2,1.13367,
2.18606,0.807574,1.8,1.03817,
2.21018,0.773495,2,1.1318,
2.21081,0.80913,1.8,1.1318,
2.21137,0.775192,2,1.1318,
2.21137,0.775192,2,1.1318,
2.21173,0.810507,1.8,1.1318,
2.21197,0.776053,2,1.1318,
2.21217,0.811161,1.8,1.1318,
2.21227,0.776487,2,1.1318,
2.21238,0.811477,1.8,1.1318,
2.21257,0.776919,2,1.1318,
2.21259,0.811782,1.8,1.1318,
2.21272,0.777135,2,1.1318,
2.21272,0.777135,2,1.1318,
2.21279,0.812083,1.8,1.1318,
2.21288,0.777352,2,1.1318,
2.21288,0.812213,1.8,1.1318,
2.21303,0.777569,2,1.1318,
