PriceChangeStep,Price_nut,Price_chocolate,Price_candy,Satisfaction_Peter,candy_consumption_Peter,nut_consumption_Peter,chocolate_consumption_Peter,nut_Peter,chocolate_Peter,candy_Peter,Satisfaction_George,candy_consumption_George,nut_consumption_George,chocolate_consumption_George,nut_George,chocolate_George,candy_George,
0.2,1,1.05,1.2,2.14722,1.4,0.6,0.8,-0.4,-0.2,0.4,32.5963,2.4,0,0.6,-1,-0.4,1.4,
0.2,1,1.1004,1.44,2.14826,1.23333,0.8,0.8,-0.2,-0.2,0.233333,31.2984,2.06667,0,0.6,-1,-0.4,1.06667,
0.2,1,1.15633,1.728,2.14826,1.23333,0.8,0.8,-0.2,-0.2,0.233333,30.6703,1.92778,0,0.6,-1,-0.4,0.927778,
0.2,1,1.22938,2.0736,2.14997,1.11759,1,0.8,0,-0.2,0.117593,30.12,1.6963,0,0.772962,-1,-0.227038,0.696296,
0.2,1,1.34096,2.48832,2.15105,1.02114,1,0.962684,0,-0.037316,0.021142,29.5614,1.59985,0,0.772962,-1,-0.227038,0.599846,
0.2,1,1.47607,2.98598,2.10597,0.940766,1,0.962684,0,-0.037316,-0.0592335,29.0632,1.51947,0,0.772962,-1,-0.227038,0.51947,
0.2,1,1.61647,3.58318,2.15142,0.940766,1.2,0.962684,0.2,-0.037316,-0.0592335,28.1583,1.38551,0,0.772962,-1,-0.227038,0.385511,
0.2,1,1.74968,4.29982,2.15574,0.88495,1.4,0.962684,0.4,-0.037316,-0.11505,27.7505,1.32969,0,0.772962,-1,-0.227038,0.329695,
0.2,1,1.84068,5.15978,2.15826,0.838437,1.6,0.962684,0.6,-0.037316,-0.161563,27.3955,1.28318,0,0.772962,-1,-0.227038,0.283181,
0.2,1,2.11491,6.19174,2.18936,0.799675,1.8,1.07134,0.8,0.0713398,-0.200325,27.1125,1.20566,0,0.881617,-1,-0.118383,0.205658,
0.2,1,2.45407,4.95339,2.21401,0.767374,2,1.16591,1,0.165907,-0.232626,26.8389,1.17336,0,0.881617,-1,-0.118383,0.173357,
0.2,1,2.17414,5.94407,2.18006,0.888503,1.8,0.839917,0.8,-0.160083,-0.111497,27.6019,1.33486,0,0.718623,-1,-0.281377,0.334863,
0.2,1,2.60897,5.16213,2.21606,0.787562,2,1.11589,1,0.115888,-0.212438,27.129,1.20027,0,0.902603,-1,-0.0973966,0.200275,
0.1,1,2.45909,5.67834,2.17999,0.86505,1.8,0.885913,0.8,-0.114087,-0.13495,27.5844,1.35525,0,0.672628,-1,-0.327372,0.35525,
0.1,1,2.21318,5.84008,2.20521,0.829828,2,0.967244,1,-0.0327564,-0.170172,27.0658,1.24959,0,0.753959,-1,-0.246041,0.249585,
0.1,1,1.99186,5.90512,2.20684,0.795582,2,1.05761,1,0.0576114,-0.204418,27.0801,1.21534,0,0.844326,-1,-0.155674,0.215339,
0.1,1,2.19105,5.57861,2.20816,0.761713,2,1.15802,1,0.15802,-0.238287,27.0895,1.18147,0,0.944735,-1,-0.0552649,0.18147,
0.1,1,2.3136,6.13647,2.18674,0.797564,1.8,1.06674,0.8,0.0667395,-0.202436,27.1245,1.21732,0,0.853454,-1,-0.146546,0.217321,
0.1,1,2.08224,6.25093,2.21055,0.797564,2,1.06674,1,0.0667395,-0.202436,27.1245,1.21732,0,0.853454,-1,-0.146546,0.217321,
0.05,1,2.18635,6.0252,2.21201,0.765569,2,1.16279,1,0.16279,-0.234431,26.8595,1.15333,0,0.949505,-1,-0.0504951,0.153331,
0.05,1,2.07703,5.96248,2.21254,0.798763,2,1.07131,1,0.0713133,-0.201237,26.8806,1.18652,0,0.858028,-1,-0.141972,0.186525,
0.05,1,2.1322,5.66435,2.21289,0.76522,2,1.1676,1,0.167604,-0.23478,26.8806,1.18652,0,0.858028,-1,-0.141972,0.186525,
0.05,1,2.19541,5.94757,2.19057,0.800528,1.8,1.0738,0.8,0.0738046,-0.199472,27.1756,1.22183,0,0.858028,-1,-0.141972,0.221833,
0.05,1,2.08564,5.89843,2.21438,0.800528,2,1.0738,1,0.0738046,-0.199472,26.8948,1.18821,0,0.858028,-1,-0.141972,0.188206,
0.025,1,2.03349,5.87406,2.21438,0.800528,2,1.0738,1,0.0738046,-0.199472,26.8948,1.18821,0,0.858028,-1,-0.141972,0.188206,
0.025,1,2.06736,5.7272,2.21484,0.76648,2,1.17216,1,0.172157,-0.23352,26.8948,1.18821,0,0.858028,-1,-0.141972,0.188206,
0.025,1,2.09808,5.87038,2.19157,0.801401,1.8,1.07542,0.8,0.0754157,-0.198599,27.1863,1.22313,0,0.858028,-1,-0.141972,0.223127,
0.025,1,2.04563,5.84935,2.21538,0.801401,2,1.07542,1,0.0754157,-0.198599,26.9021,1.18906,0,0.858028,-1,-0.141972,0.189058,
