Satisfaction,candy_consumption,nut_consumption,chocolate_consumption,
2.14722,1.4,0.6,0.8,
2.14826,1.23333,0.8,0.8,
2.14826,1.23333,0.8,0.8,
2.14997,1.11759,1,0.8,
2.15105,1.02114,1,0.962684,
2.10597,0.940766,1,0.962684,
2.15142,0.940766,1.2,0.962684,
2.15574,0.88495,1.4,0.962684,
2.15826,0.838437,1.6,0.962684,
2.18936,0.799675,1.8,1.07134,
2.21401,0.767374,2,1.16591,
2.18006,0.888503,1.8,0.839917,
2.21606,0.787562,2,1.11589,
2.17999,0.86505,1.8,0.885913,
2.20521,0.829828,2,0.967244,
2.20684,0.795582,2,1.05761,
2.20816,0.761713,2,1.15802,
2.18674,0.797564,1.8,1.06674,
2.21055,0.797564,2,1.06674,
2.21201,0.765569,2,1.16279,
2.21254,0.798763,2,1.07131,
2.21289,0.76522,2,1.1676,
2.19057,0.800528,1.8,1.0738,
2.21438,0.800528,2,1.0738,
2.21438,0.800528,2,1.0738,
2.21484,0.76648,2,1.17216,
2.19157,0.801401,1.8,1.07542,
2.21538,0.801401,2,1.07542,
2.2156,0.76721,2,1.17319,
2.1926,0.802278,1.8,1.07713,
2.1926,0.802278,1.8,1.07713,
2.1928,0.76807,2,1.07713,
2.1928,0.76807,2,1.07713,
2.19298,0.802839,1.8,1.07713,
2.1931,0.768499,2,1.07713,
2.1931,0.768499,2,1.07713,
2.19317,0.803113,1.8,1.07713,
2.19325,0.768714,2,1.07713,
